cat_code,cat_desc,category_level,dt_code,dt_desc,dt_unit,et_code,et_desc,et_unit,geo_code,geo_desc,is_adj,report,detail_code,time_series_code
31A,Iron and Steel Mills and Ferroalloy and Steel Product Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,31A_TI_US_adj
ANM,Aluminum and Nonferrous Metal Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,ANM_TI_US_adj
31C,Ferrous Metal Foundries,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,31C_TI_US_adj
32S,Fabricated Metal Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,32S_TI_US_adj
33S,Machinery,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33S_TI_US_adj
33A,Farm Machinery and Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33A_TI_US_adj
33C,Construction Machinery Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33C_TI_US_adj
33D,"Mining, Oil, and Gas Field Machinery Manufacturing",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33D_TI_US_adj
33E,Industrial Machinery Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33E_TI_US_adj
33G,Photographic Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33G_TI_US_adj
33H,"Ventilation, Heating, Air-conditioning, and Refrigeration Equipment Manufacturing",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33H_TI_US_adj
33I,Metalworking Machinery Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33I_TI_US_adj
TGP,"Turbines, Generators, and Other Power Transmission Equipment",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,TGP_TI_US_adj
33M,Material Handling Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,33M_TI_US_adj
34S,Computer and Electronic Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34S_TI_US_adj
34A,Electronic Computer Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34A_TI_US_adj
34B,Computer Storage Device Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34B_TI_US_adj
34C,Other Computer Peripheral Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34C_TI_US_adj
34D,"Communications Equipment Manufacturing, Nondefense",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34D_TI_US_adj
34E,"Communications Equipment Manufacturing, Defense",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34E_TI_US_adj
34F,Audio and Video Equipment,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34F_TI_US_adj
34H,Other Electronic Component Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34H_TI_US_adj
34I,"Search and Navigation Equipment, Nondefense",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34I_TI_US_adj
34J,"Search and Navigation Equipment, Defense",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34J_TI_US_adj
34K,"Electromedical, Measuring, and Control Instrument Manufacturing",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,34K_TI_US_adj
35S,"Electrical Equipment, Appliances and Components",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,35S_TI_US_adj
35A,Electric Lighting Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,35A_TI_US_adj
35B,Household Appliance Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,35B_TI_US_adj
35C,Electrical Equipment Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,35C_TI_US_adj
35D,Battery Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,35D_TI_US_adj
36S,Transportation Equipment,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,36S_TI_US_adj
36A,Automobile Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,36A_TI_US_adj
36B,Light Truck and Utility Vehicle Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,36B_TI_US_adj
36C,Heavy Duty Truck Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,36C_TI_US_adj
BTP,"Motor Vehicle Bodies, Trailers, and Parts",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,BTP_TI_US_adj
NAP,Nondefense Aircraft and Parts,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,NAP_TI_US_adj
DAP,Defense Aircraft and Parts,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,DAP_TI_US_adj
36Z,Ships and Boats,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,36Z_TI_US_adj
37S,Furniture and Related Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,37S_TI_US_adj
39S,Miscellaneous Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,39S_TI_US_adj
MNM,Nondurable Goods,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MNM_TI_US_adj
11S,Food Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,11S_TI_US_adj
11A,Grain and Oilseed Milling,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,11A_TI_US_adj
11B,Dairy Product Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,11B_TI_US_adj
11C,"Meat, Poultry, and Seafood Product Processing",0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,11C_TI_US_adj
